id,name,category,price,stock
429,books-429,books,87.73,3
430,home-430,home,89.10,10
431,toys-431,toys,90.47,17
432,food-432,food,91.84,24
433,electronics-433,electronics,93.21,31
434,clothing-434,clothing,94.58,38
435,books-435,books,95.95,45
436,home-436,home,97.32,52
437,toys-437,toys,98.69,59
438,food-438,food,0.06,66
439,electronics-439,electronics,1.43,73
440,clothing-440,clothing,2.80,80
441,books-441,books,4.17,87
442,home-442,home,5.54,94
443,toys-443,toys,6.91,101
444,food-444,food,8.28,108
445,electronics-445,electronics,9.65,115
446,clothing-446,clothing,11.02,122
447,books-447,books,12.39,129
448,home-448,home,13.76,136
449,toys-449,toys,15.13,143
450,food-450,food,16.50,150
451,electronics-451,electronics,17.87,157
452,clothing-452,clothing,19.24,164
453,books-453,books,20.61,171
454,home-454,home,21.98,178
455,toys-455,toys,23.35,185
456,food-456,food,24.72,192
457,electronics-457,electronics,26.09,199
458,clothing-458,clothing,27.46,206
459,books-459,books,28.83,213
460,home-460,home,30.20,220
461,toys-461,toys,31.57,227
462,food-462,food,32.94,234
463,electronics-463,electronics,34.31,241
464,clothing-464,clothing,35.68,248
465,books-465,books,37.05,255
466,home-466,home,38.42,262
467,toys-467,toys,39.79,269
468,food-468,food,41.16,276
469,electronics-469,electronics,42.53,283
470,clothing-470,clothing,43.90,290
471,books-471,books,45.27,297
472,home-472,home,46.64,304
473,toys-473,toys,48.01,311
474,food-474,food,49.38,318
475,electronics-475,electronics,50.75,325
476,clothing-476,clothing,52.12,332
477,books-477,books,53.49,339
478,home-478,home,54.86,346
479,toys-479,toys,56.23,353
480,food-480,food,57.60,360
481,electronics-481,electronics,58.97,367
482,clothing-482,clothing,60.34,374
483,books-483,books,61.71,381
484,home-484,home,63.08,388
485,toys-485,toys,64.45,395
486,food-486,food,65.82,402
487,electronics-487,electronics,67.19,409
488,clothing-488,clothing,68.56,416
489,books-489,books,69.93,423
490,home-490,home,71.30,430
491,toys-491,toys,72.67,437
492,food-492,food,74.04,444
493,electronics-493,electronics,75.41,451
494,clothing-494,clothing,76.78,458
495,books-495,books,78.15,465
496,home-496,home,79.52,472
497,toys-497,toys,80.89,479
498,food-498,food,82.26,486
499,electronics-499,electronics,83.63,493
500,clothing-500,clothing,85.00,0
501,books-501,books,86.37,7
502,home-502,home,87.74,14
503,toys-503,toys,89.11,21
504,food-504,food,90.48,28
505,electronics-505,electronics,91.85,35
506,clothing-506,clothing,93.22,42
507,books-507,books,94.59,49
508,home-508,home,95.96,56
509,toys-509,toys,97.33,63
510,food-510,food,98.70,70
511,electronics-511,electronics,0.07,77
512,clothing-512,clothing,1.44,84
513,books-513,books,2.81,91
514,home-514,home,4.18,98
515,toys-515,toys,5.55,105
516,food-516,food,6.92,112
517,electronics-517,electronics,8.29,119
518,clothing-518,clothing,9.66,126
519,books-519,books,11.03,133
520,home-520,home,12.40,140
521,toys-521,toys,13.77,147
522,food-522,food,15.14,154
523,electronics-523,electronics,16.51,161
524,clothing-524,clothing,17.88,168
525,books-525,books,19.25,175
526,home-526,home,20.62,182
527,toys-527,toys,21.99,189
528,food-528,food,23.36,196
529,electronics-529,electronics,24.73,203
530,clothing-530,clothing,26.10,210
531,books-531,books,27.47,217
532,home-532,home,28.84,224
533,toys-533,toys,30.21,231
534,food-534,food,31.58,238
535,electronics-535,electronics,32.95,245
536,clothing-536,clothing,34.32,252
537,books-537,books,35.69,259
538,home-538,home,37.06,266
539,toys-539,toys,38.43,273
540,food-540,food,39.80,280
541,electronics-541,electronics,41.17,287
542,clothing-542,clothing,42.54,294
543,books-543,books,43.91,301
544,home-544,home,45.28,308
545,toys-545,toys,46.65,315
546,food-546,food,48.02,322
547,electronics-547,electronics,49.39,329
548,clothing-548,clothing,50.76,336
549,books-549,books,52.13,343
550,home-550,home,53.50,350
551,toys-551,toys,54.87,357
552,food-552,food,56.24,364
553,electronics-553,electronics,57.61,371
554,clothing-554,clothing,58.98,378
555,books-555,books,60.35,385
556,home-556,home,61.72,392
557,toys-557,toys,63.09,399
558,food-558,food,64.46,406
559,electronics-559,electronics,65.83,413
560,clothing-560,clothing,67.20,420
561,books-561,books,68.57,427
562,home-562,home,69.94,434
563,toys-563,toys,71.31,441
564,food-564,food,72.68,448
565,electronics-565,electronics,74.05,455
566,clothing-566,clothing,75.42,462
567,books-567,books,76.79,469
568,home-568,home,78.16,476
569,toys-569,toys,79.53,483
570,food-570,food,80.90,490
571,electronics-571,electronics,82.27,497
572,clothing-572,clothing,83.64,4
573,books-573,books,85.01,11
574,home-574,home,86.38,18
575,toys-575,toys,87.75,25
576,food-576,food,89.12,32
577,electronics-577,electronics,90.49,39
578,clothing-578,clothing,91.86,46
579,books-579,books,93.23,53
580,home-580,home,94.60,60
581,toys-581,toys,95.97,67
582,food-582,food,97.34,74
583,electronics-583,electronics,98.71,81
584,clothing-584,clothing,0.08,88
585,books-585,books,1.45,95
586,home-586,home,2.82,102
587,toys-587,toys,4.19,109
588,food-588,food,5.56,116
589,electronics-589,electronics,6.93,123
590,clothing-590,clothing,8.30,130
591,books-591,books,9.67,137
592,home-592,home,11.04,144
593,toys-593,toys,12.41,151
594,food-594,food,13.78,158
595,electronics-595,electronics,15.15,165
596,clothing-596,clothing,16.52,172
597,books-597,books,17.89,179
598,home-598,home,19.26,186
599,toys-599,toys,20.63,193
600,food-600,food,22.00,200
601,electronics-601,electronics,23.37,207
602,clothing-602,clothing,24.74,214
603,books-603,books,26.11,221
604,home-604,home,27.48,228
605,toys-605,toys,28.85,235
606,food-606,food,30.22,242
607,electronics-607,electronics,31.59,249
608,clothing-608,clothing,32.96,256
609,books-609,books,34.33,263
610,home-610,home,35.70,270
611,toys-611,toys,37.07,277
612,food-612,food,38.44,284
613,electronics-613,electronics,39.81,291
614,clothing-614,clothing,41.18,298
615,books-615,books,42.55,305
616,home-616,home,43.92,312
617,toys-617,toys,45.29,319
618,food-618,food,46.66,326
619,electronics-619,electronics,48.03,333
620,clothing-620,clothing,49.40,340
621,books-621,books,50.77,347
622,home-622,home,52.14,354
623,toys-623,toys,53.51,361
624,food-624,food,54.88,368
625,electronics-625,electronics,56.25,375
626,clothing-626,clothing,57.62,382
627,books-627,books,58.99,389
628,home-628,home,60.36,396
629,toys-629,toys,61.73,403
630,food-630,food,63.10,410
631,electronics-631,electronics,64.47,417
632,clothing-632,clothing,65.84,424
633,books-633,books,67.21,431
634,home-634,home,68.58,438
635,toys-635,toys,69.95,445
636,food-636,food,71.32,452
637,electronics-637,electronics,72.69,459
638,clothing-638,clothing,74.06,466
639,books-639,books,75.43,473
640,home-640,home,76.80,480
641,toys-641,toys,78.17,487
642,food-642,food,79.54,494
643,electronics-643,electronics,80.91,1
644,clothing-644,clothing,82.28,8
645,books-645,books,83.65,15
646,home-646,home,85.02,22
647,toys-647,toys,86.39,29
648,food-648,food,87.76,36
649,electronics-649,electronics,89.13,43
650,clothing-650,clothing,90.50,50
651,books-651,books,91.87,57
652,home-652,home,93.24,64
653,toys-653,toys,94.61,71
654,food-654,food,95.98,78
655,electronics-655,electronics,97.35,85
656,clothing-656,clothing,98.72,92
657,books-657,books,0.09,99
658,home-658,home,1.46,106
659,toys-659,toys,2.83,113
660,food-660,food,4.20,120
661,electronics-661,electronics,5.57,127
662,clothing-662,clothing,6.94,134
663,books-663,books,8.31,141
664,home-664,home,9.68,148
665,toys-665,toys,11.05,155
666,food-666,food,12.42,162
667,electronics-667,electronics,13.79,169
668,clothing-668,clothing,15.16,176
669,books-669,books,16.53,183
670,home-670,home,17.90,190
671,toys-671,toys,19.27,197
672,food-672,food,20.64,204
673,electronics-673,electronics,22.01,211
674,clothing-674,clothing,23.38,218
675,books-675,books,24.75,225
676,home-676,home,26.12,232
677,toys-677,toys,27.49,239
678,food-678,food,28.86,246
679,electronics-679,electronics,30.23,253
680,clothing-680,clothing,31.60,260
681,books-681,books,32.97,267
682,home-682,home,34.34,274
683,toys-683,toys,35.71,281
684,food-684,food,37.08,288
685,electronics-685,electronics,38.45,295
686,clothing-686,clothing,39.82,302
687,books-687,books,41.19,309
688,home-688,home,42.56,316
689,toys-689,toys,43.93,323
690,food-690,food,45.30,330
691,electronics-691,electronics,46.67,337
692,clothing-692,clothing,48.04,344
693,books-693,books,49.41,351
694,home-694,home,50.78,358
695,toys-695,toys,52.15,365
696,food-696,food,53.52,372
697,electronics-697,electronics,54.89,379
698,clothing-698,clothing,56.26,386
699,books-699,books,57.63,393
700,home-700,home,59.00,400
701,toys-701,toys,60.37,407
702,food-702,food,61.74,414
703,electronics-703,electronics,63.11,421
704,clothing-704,clothing,64.48,428
705,books-705,books,65.85,435
706,home-706,home,67.22,442
707,toys-707,toys,68.59,449
708,food-708,food,69.96,456
709,electronics-709,electronics,71.33,463
710,clothing-710,clothing,72.70,470
711,books-711,books,74.07,477
712,home-712,home,75.44,484
713,toys-713,toys,76.81,491
714,food-714,food,78.18,498
715,electronics-715,electronics,79.55,5
716,clothing-716,clothing,80.92,12
717,books-717,books,82.29,19
718,home-718,home,83.66,26
719,toys-719,toys,85.03,33
720,food-720,food,86.40,40
721,electronics-721,electronics,87.77,47
722,clothing-722,clothing,89.14,54
723,books-723,books,90.51,61
724,home-724,home,91.88,68
725,toys-725,toys,93.25,75
726,food-726,food,94.62,82
727,electronics-727,electronics,95.99,89
728,clothing-728,clothing,97.36,96
729,books-729,books,98.73,103
730,home-730,home,0.10,110
731,toys-731,toys,1.47,117
732,food-732,food,2.84,124
733,electronics-733,electronics,4.21,131
734,clothing-734,clothing,5.58,138
735,books-735,books,6.95,145
736,home-736,home,8.32,152
737,toys-737,toys,9.69,159
738,food-738,food,11.06,166
739,electronics-739,electronics,12.43,173
740,clothing-740,clothing,13.80,180
741,books-741,books,15.17,187
742,home-742,home,16.54,194
743,toys-743,toys,17.91,201
744,food-744,food,19.28,208
745,electronics-745,electronics,20.65,215
746,clothing-746,clothing,22.02,222
747,books-747,books,23.39,229
748,home-748,home,24.76,236
749,toys-749,toys,26.13,243
750,food-750,food,27.50,250
751,electronics-751,electronics,28.87,257
752,clothing-752,clothing,30.24,264
753,books-753,books,31.61,271
754,home-754,home,32.98,278
755,toys-755,toys,34.35,285
756,food-756,food,35.72,292
757,electronics-757,electronics,37.09,299
758,clothing-758,clothing,38.46,306
759,books-759,books,39.83,313
760,home-760,home,41.20,320
761,toys-761,toys,42.57,327
762,food-762,food,43.94,334
763,electronics-763,electronics,45.31,341
764,clothing-764,clothing,46.68,348
765,books-765,books,48.05,355
766,home-766,home,49.42,362
767,toys-767,toys,50.79,369
768,food-768,food,52.16,376
769,electronics-769,electronics,53.53,383
770,clothing-770,clothing,54.90,390
771,books-771,books,56.27,397
772,home-772,home,57.64,404
773,toys-773,toys,59.01,411
774,food-774,food,60.38,418
775,electronics-775,electronics,61.75,425
776,clothing-776,clothing,63.12,432
777,books-777,books,64.49,439
778,home-778,home,65.86,446
779,toys-779,toys,67.23,453
780,food-780,food,68.60,460
781,electronics-781,electronics,69.97,467
782,clothing-782,clothing,71.34,474
783,books-783,books,72.71,481
784,home-784,home,74.08,488
785,toys-785,toys,75.45,495
786,food-786,food,76.82,2
787,electronics-787,electronics,78.19,9
788,clothing-788,clothing,79.56,16
789,books-789,books,80.93,23
790,home-790,home,82.30,30
791,toys-791,toys,83.67,37
792,food-792,food,85.04,44
793,electronics-793,electronics,86.41,51
794,clothing-794,clothing,87.78,58
795,books-795,books,89.15,65
796,home-796,home,90.52,72
797,toys-797,toys,91.89,79
798,food-798,food,93.26,86
799,electronics-799,electronics,94.63,93
800,clothing-800,clothing,96.00,100
801,books-801,books,97.37,107
802,home-802,home,98.74,114
803,toys-803,toys,0.11,121
804,food-804,food,1.48,128
805,electronics-805,electronics,2.85,135
806,clothing-806,clothing,4.22,142
807,books-807,books,5.59,149
808,home-808,home,6.96,156
809,toys-809,toys,8.33,163
810,food-810,food,9.70,170
811,electronics-811,electronics,11.07,177
812,clothing-812,clothing,12.44,184
813,books-813,books,13.81,191
814,home-814,home,15.18,198
815,toys-815,toys,16.55,205
816,food-816,food,17.92,212
817,electronics-817,electronics,19.29,219
818,clothing-818,clothing,20.66,226
819,books-819,books,22.03,233
820,home-820,home,23.40,240
821,toys-821,toys,24.77,247
822,food-822,food,26.14,254
823,electronics-823,electronics,27.51,261
824,clothing-824,clothing,28.88,268
825,books-825,books,30.25,275
826,home-826,home,31.62,282
827,toys-827,toys,32.99,289
828,food-828,food,34.36,296
829,electronics-829,electronics,35.73,303
830,clothing-830,clothing,37.10,310
831,books-831,books,38.47,317
832,home-832,home,39.84,324
833,toys-833,toys,41.21,331
834,food-834,food,42.58,338
835,electronics-835,electronics,43.95,345
836,clothing-836,clothing,45.32,352
837,books-837,books,46.69,359
838,home-838,home,48.06,366
839,toys-839,toys,49.43,373
840,food-840,food,50.80,380
841,electronics-841,electronics,52.17,387
842,clothing-842,clothing,53.54,394
843,books-843,books,54.91,401
844,home-844,home,56.28,408
845,toys-845,toys,57.65,415
846,food-846,food,59.02,422
847,electronics-847,electronics,60.39,429
848,clothing-848,clothing,61.76,436
849,books-849,books,63.13,443
850,home-850,home,64.50,450
851,toys-851,toys,65.87,457
852,food-852,food,67.24,464
853,electronics-853,electronics,68.61,471
854,clothing-854,clothing,69.98,478
855,books-855,books,71.35,485
856,home-856,home,72.72,492
857,toys-857,toys,74.09,499
858,food-858,food,75.46,6
859,electronics-859,electronics,76.83,13
860,clothing-860,clothing,78.20,20
861,books-861,books,79.57,27
862,home-862,home,80.94,34
863,toys-863,toys,82.31,41
864,food-864,food,83.68,48
865,electronics-865,electronics,85.05,55
866,clothing-866,clothing,86.42,62
867,books-867,books,87.79,69
868,home-868,home,89.16,76
869,toys-869,toys,90.53,83
870,food-870,food,91.90,90
871,electronics-871,electronics,93.27,97
872,clothing-872,clothing,94.64,104
873,books-873,books,96.01,111
874,home-874,home,97.38,118
875,toys-875,toys,98.75,125
876,food-876,food,0.12,132
877,electronics-877,electronics,1.49,139
878,clothing-878,clothing,2.86,146
879,books-879,books,4.23,153
880,home-880,home,5.60,160
881,toys-881,toys,6.97,167
882,food-882,food,8.34,174
883,electronics-883,electronics,9.71,181
884,clothing-884,clothing,11.08,188
885,books-885,books,12.45,195
886,home-886,home,13.82,202
887,toys-887,toys,15.19,209
888,food-888,food,16.56,216
889,electronics-889,electronics,17.93,223
890,clothing-890,clothing,19.30,230
891,books-891,books,20.67,237
892,home-892,home,22.04,244
